observation_date,REAINTRATREARAT10Y
2005-01-01,1.77927590
2005-02-01,1.81315912
2005-03-01,1.97934111
2005-04-01,2.02052684
2005-05-01,1.78986568
2005-06-01,1.66688811
2005-07-01,1.82002108
2005-08-01,2.00821677
2005-09-01,1.73569017
2005-10-01,1.96704484
2005-11-01,2.07568901
2005-12-01,2.01834727
2006-01-01,2.06484172
2006-02-01,2.20441278
2006-03-01,2.38362088
2006-04-01,2.35839303
2006-05-01,2.40637015
2006-06-01,2.45080986
2006-07-01,2.49634953
2006-08-01,2.29828610
2006-09-01,2.20605719
2006-10-01,2.21206207
2006-11-01,2.19988540
2006-12-01,2.12213778
2007-01-01,2.14807579
2007-02-01,2.28715091
2007-03-01,2.02498640
2007-04-01,2.07748685
2007-05-01,2.03184420
2007-06-01,2.24630973
2007-07-01,2.37357342
2007-08-01,2.13388077
2007-09-01,1.94622258
2007-10-01,1.98911422
2007-11-01,1.82624712
2007-12-01,1.38696881
2008-01-01,1.39949068
2008-02-01,1.11112286
2008-03-01,1.02522008
2008-04-01,1.06289422
2008-05-01,1.40051629
2008-06-01,1.48755401
2008-07-01,1.44558109
2008-08-01,1.35649733
2008-09-01,1.23957472
2008-10-01,1.48506331
2008-11-01,1.63162854
2008-12-01,0.97537985
2009-01-01,0.93854104
2009-02-01,1.03930649
2009-03-01,1.25074177
2009-04-01,0.71281967
2009-05-01,1.01741090
2009-06-01,1.32210554
2009-07-01,1.26690282
2009-08-01,1.15904037
2009-09-01,0.94923764
2009-10-01,0.99714116
2009-11-01,1.06141004
2009-12-01,0.84804056
2010-01-01,1.29792486
2010-02-01,1.12451541
2010-03-01,0.99873153
2010-04-01,1.30910530
2010-05-01,1.22638786
2010-06-01,1.01936098
2010-07-01,0.84675907
2010-08-01,0.65616389
2010-09-01,0.57706775
2010-10-01,0.40880525
2010-11-01,0.33888956
2010-12-01,0.62620927
2011-01-01,0.86397716
2011-02-01,0.82968718
2011-03-01,0.87385088
2011-04-01,0.97750283
2011-05-01,0.71147484
2011-06-01,0.49226699
2011-07-01,0.57395235
2011-08-01,0.39497491
2011-09-01,0.21493888
2011-10-01,0.09856249
2011-11-01,0.13706953
2011-12-01,0.14446831
2012-01-01,0.14610051
2012-02-01,0.02185103
2012-03-01,0.16923691
2012-04-01,0.19464573
2012-05-01,-0.08722198
2012-06-01,-0.04815105
2012-07-01,-0.05482603
2012-08-01,-0.06008478
2012-09-01,-0.16925714
2012-10-01,-0.09317224
2012-11-01,-0.00573705
2012-12-01,-0.17237745
2013-01-01,0.08440142
2013-02-01,0.17210018
2013-03-01,0.05034072
2013-04-01,-0.02421188
2013-05-01,-0.01939123
2013-06-01,0.22769375
2013-07-01,0.54638104
2013-08-01,0.47506869
2013-09-01,0.54083451
2013-10-01,0.49296942
2013-11-01,0.48963774
2013-12-01,0.41829993
2014-01-01,0.68063671
2014-02-01,0.50867731
2014-03-01,0.58045318
2014-04-01,0.70222210
2014-05-01,0.62685415
2014-06-01,0.62452944
2014-07-01,0.59099495
2014-08-01,0.64940570
2014-09-01,0.58085993
2014-10-01,0.70096470
2014-11-01,0.71330026
2014-12-01,0.38472537
2015-01-01,0.70994280
2015-02-01,0.53838038
2015-03-01,0.75170542
2015-04-01,0.41032252
2015-05-01,0.53392144
2015-06-01,0.55377780
2015-07-01,0.66707490
2015-08-01,0.54830556
2015-09-01,0.51245991
2015-10-01,0.52877171
2015-11-01,0.66620570
2015-12-01,0.64742223
2016-01-01,0.73450597
2016-02-01,0.53873800
2016-03-01,0.55140742
2016-04-01,0.34527268
2016-05-01,0.41364983
2016-06-01,0.51909852
2016-07-01,0.16534694
2016-08-01,0.22683746
2016-09-01,0.21607430
2016-10-01,0.28979681
2016-11-01,0.34660933
2016-12-01,0.70045658
2017-01-01,0.72565107
2017-02-01,0.77438158
2017-03-01,0.91650302
2017-04-01,0.76575378
2017-05-01,0.77640880
2017-06-01,0.73611135
2017-07-01,0.72501612
2017-08-01,0.67086016
2017-09-01,0.56521264
2017-10-01,0.72914351
2017-11-01,0.75219045
2017-12-01,0.57304923
2018-01-01,0.87378801
2018-02-01,1.08846929
2018-03-01,1.02953583
2018-04-01,1.01435433
2018-05-01,1.21609180
2018-06-01,1.24572814
2018-07-01,1.15523371
2018-08-01,1.25524162
2018-09-01,1.13214690
2018-10-01,1.30012681
2018-11-01,1.30865835
2018-12-01,1.25496666
2019-01-01,1.04043434
2019-02-01,1.06818285
2019-03-01,0.51720765
2019-04-01,0.42030375
2019-05-01,0.54042880
2019-06-01,0.42130162
2019-07-01,0.44057188
2019-08-01,0.42005179
2019-09-01,0.23500552
2019-10-01,0.36832453
2019-11-01,0.43361185
2019-12-01,0.51426493
2020-01-01,0.50509631
2020-02-01,0.31598579
2020-03-01,-0.12783745
2020-04-01,-0.11159442
2020-05-01,-0.02785652
2020-06-01,-0.15369936
2020-07-01,-0.34534450
2020-08-01,-0.40713400
2020-09-01,-0.34333693
2020-10-01,-0.29173845
2020-11-01,-0.21395564
2020-12-01,-0.23232146
2021-01-01,-0.23501721
2021-02-01,-0.23082380
2021-03-01,0.01250687
